objectid,id,address,terminal_num,lat,long,nbikes,empty_docks
177403954,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,6,5
177403955,256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,12,3
177403956,257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,4,6
177403957,258,Fenton St & New York Ave,32001,38.985404,-77.023082,5,10
177403958,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,6,13
177403959,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,5,6
177403960,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,3,16
177403961,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,7,12
177403962,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,4,6
177403963,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,3,12
177403964,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,8,3
177403965,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,6,5
177403966,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,6,8
177403967,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,5,14
177403968,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,3,16
177403969,270,Montgomery & East Ln,32013,38.983525,-77.095367,9,2
177403970,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,4,15
177403971,272,14th & Belmont St NW,31119,38.921074,-77.031887,3,11
177403972,273,3rd & Tingey St SE,31634,38.87501,-77.0024,14,5
177403973,274,10th & Florida Ave NW,31120,38.920387,-77.025672,3,16
177403974,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,5,10
177403975,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,11,4
177403976,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,3,12
177403977,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,10,5
177403978,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,6,9
177403979,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,3,12
177403980,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,9,6
177403981,282,47th & Elm St,32021,38.982456,-77.091991,6,9
177403982,283,Dennis & Amherst Ave,32022,39.025387,-77.044563,5,10
177403983,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,14,7
177403984,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,3,8
177403985,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,5,10
177403986,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,7,8
177403987,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,11,4
177403988,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,4,7
177403989,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,5,6
177403990,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,6,9
177403991,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,11,4
177403992,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,10,5
177403993,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,13,6
177403994,295,Ripley & Bonifant St,32034,38.992679,-77.029457,4,11
177403995,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,3,7
177403996,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,10,5
177403997,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,8,10
177403998,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,4,11
177403999,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,5,14
177404000,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,4,15
177404001,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,5,6
177404002,304,Deanwood Rec Center,31711,38.908473,-76.933099,10,5
177404003,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,8,8
